timestamp,aggregate_profile_W,per_household_profile_W,aggregate_dhw_W,per_household_dhw_W,P10_W,P50_W,P90_W,P_biomass_dhw_W,P_biomass_space_heating_W,P_biomass_total_W,P_coal_dhw_W,P_coal_space_heating_W,P_coal_total_W,P_district_heat_dhw_W,P_district_heat_space_heating_W,P_district_heat_total_W,P_el_ev_charging_W,P_el_grid_export_W,P_el_grid_import_W,P_el_gross_actual_W,P_el_total_W,P_gas_dhw_W,P_gas_space_heating_W,P_gas_total_W,P_oil_dhw_W,P_oil_space_heating_W,P_oil_total_W,P_propane_dhw_W,P_propane_space_heating_W,P_propane_total_W,P_pv_generation_W,Q_dhw_demand_W,Q_heating_supplied_W,Q_total_thermal_W
1981-07-10 13:00:00+02:00,14819.092000144989,148.19092000144988,32650.85189330933,326.5085189330933,110.28840932191314,147.0527189705272,147.05271897052754,1730.2635973472593,4203.137481795377,5933.401079142636,274.7805072693322,376.8049610913647,651.585468360697,0.0,0.0,0.0,0.0,2784.6672985656705,17279.067941600526,47862.52692938046,14819.092000144989,18532.696658091107,34338.073645863,52870.770303954116,2006.3592886760148,11900.447699908971,13906.806988584985,289.1599700107683,2791.166788624612,3080.32675863538,33368.126286345585,32650.85189330933,54428.22667928078,87079.0785725901
1981-07-11 13:00:00+02:00,14137.46961527443,141.37469615274432,32650.85189330933,326.5085189330933,100.14769961865102,147.0527189705272,147.0527189705272,1730.2635973472593,2645.8401075617785,4376.103704909038,274.7805072693322,264.49522205145104,539.2757293207833,0.0,0.0,0.0,0.0,2784.6672985656705,15129.462205628352,45712.921193408285,14137.46961527443,18532.696658091107,22680.40796035972,41213.104618450845,2006.3592886760148,6620.288689907567,8626.647978583582,289.1599700107683,2001.4509185296943,2290.6108885404624,33368.126286345585,32650.85189330933,34970.469312283654,67621.32120559296
1981-07-12 13:00:00+02:00,14759.915561866725,147.59915561866725,32650.85189330933,326.5085189330933,102.65191263074391,147.0527189705272,147.0527189705276,1730.2635973472593,2787.459450076588,4517.723047423847,274.7805072693322,186.6650830907626,461.4455903600948,0.0,0.0,0.0,0.0,2808.95055685253,14905.613141714555,45464.78887120763,14759.915561866725,18532.696658091107,20461.940389461415,38994.63704755253,2006.3592886760148,7244.1257166181285,9250.485005294144,289.1599700107683,2119.2110125918407,2408.370982602609,33368.126286345585,32650.85189330933,33267.18100709825,65918.03290040756
1981-07-13 13:00:00+02:00,14021.820523266322,140.21820523266322,32650.85189330933,326.5085189330933,85.44347585443518,147.0527189705272,147.0527189705272,1730.2635973472593,0.0,1730.2635973472593,274.7805072693322,0.0,274.7805072693322,0.0,0.0,0.0,0.0,2951.1309568169477,11203.10353682798,41620.09886635663,14021.820523266322,18532.696658091107,0.0,18532.696658091107,2006.3592886760148,0.0,2006.3592886760148,289.1599700107683,0.0,289.1599700107683,33368.126286345585,32650.85189330933,0.0,32650.85189330933
1981-07-14 13:00:00+02:00,14448.766452538575,144.48766452538575,32650.85189330933,326.5085189330933,123.06518365498818,147.0527189705272,147.05271897052722,1730.2635973472593,5909.028273224614,7639.291870571874,274.7805072693322,0.0,274.7805072693322,0.0,0.0,0.0,0.0,2784.6672985656705,20475.97872403139,51059.43771181132,14448.766452538575,18532.696658091107,49552.90974509991,68085.60640319102,2006.3592886760148,15776.472311536514,17782.83160021253,289.1599700107683,4659.156007768409,4948.315977779177,33368.126286345585,32650.85189330933,78216.55005164744,110867.40194495673
1981-07-15 13:00:00+02:00,14565.520004209357,145.65520004209355,32650.85189330933,326.5085189330933,129.5127480130018,147.0527189705272,147.05271897052748,1730.2635973472593,7570.1366425197675,9300.400239867025,274.7805072693322,910.9279116793691,1185.7084189487014,0.0,0.0,0.0,0.0,2784.6672985656705,23754.256261753766,54337.71524953371,14565.520004209357,18532.696658091107,70884.35814837807,89417.0548064692,2006.3592886760148,20891.463946970125,22897.82323564614,289.1599700107683,3633.330219959886,3922.4901899706542,33368.126286345585,32650.85189330933,106623.23340496719,139274.08529827645
1981-07-16 13:00:00+02:00,15727.102279003419,157.27102279003418,32650.85189330933,326.5085189330933,106.10822678142827,147.0527189705272,147.0527189705277,1730.2635973472593,3285.5234087513336,5015.787006098592,274.7805072693322,458.4109756388048,733.191482908137,0.0,0.0,0.0,0.0,2833.367122859041,15342.76753902396,45877.52670251052,15727.102279003419,18532.696658091107,25371.54876844032,43904.24542653144,2006.3592886760148,8848.305729057985,10854.665017734,289.1599700107683,2859.2727846255875,3148.4327546363556,33368.126286345585,32650.85189330933,40696.37492334567,73347.22681665499
1981-07-17 13:00:00+02:00,14833.830102781696,148.33830102781695,32650.85189330933,326.5085189330933,123.37024574350929,147.0527189705272,147.0527189705277,1730.2635973472593,6270.082944701246,8000.3465420485045,274.7805072693322,496.26179337053395,771.0423006398662,0.0,0.0,0.0,0.0,2784.6672985656705,21844.274527615027,52427.73351539496,14833.830102781696,18532.696658091107,58348.04674445656,76880.7434025477,2006.3592886760148,17440.957547120885,19447.3168357969,289.1599700107683,3407.619547096048,3696.779517106816,33368.126286345585,32650.85189330933,88744.98743951003,121395.83933281938
1981-07-18 13:00:00+02:00,15631.652990873501,156.31652990873502,32650.85189330933,326.5085189330933,117.02062119276394,147.0527189705272,147.0527189705277,1730.2635973472593,5435.78697352832,7166.050570875579,274.7805072693322,628.2112642069143,902.9917714762464,0.0,0.0,0.0,0.0,2784.6672985656705,19052.75607935991,49636.215067139834,15631.652990873501,18532.696658091107,46822.160946823016,65354.857604914156,2006.3592886760148,14743.79853551424,16750.157824190253,289.1599700107683,3728.411143191143,4017.571113201911,33368.126286345585,32650.85189330933,72115.30170067915,104766.15359398846
1981-07-19 13:00:00+02:00,15371.782959404474,153.71782959404473,32650.85189330933,326.5085189330933,119.08272247723448,147.0527189705272,147.05271897052754,1730.2635973472593,5719.031363340641,7449.2949606879,274.7805072693322,555.9264383875517,830.7069456568838,0.0,0.0,0.0,0.0,2784.6672985656705,20449.12317213021,51032.58215991014,15371.782959404474,18532.696658091107,50640.05610536012,69172.75276345122,2006.3592886760148,15254.17345695359,17260.532745629604,289.1599700107683,3064.932170980706,3354.092140991474,33368.126286345585,32650.85189330933,77472.93971169682,110123.7916050061
