scenario_id,climate_window_id,climate_pathway_id,technology_case_id,year,n_successful_realizations,mean_T_out_C,mean_T_out_C_median,winter_mean_T_out_C,winter_mean_T_out_C_median,summer_mean_T_out_C,summer_mean_T_out_C_median,HDD_15,HDD_15_median,HDD_18,HDD_18_median,CDD_22,CDD_22_median,mean_solar_W_m2,mean_solar_W_m2_median
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1991,4,8.950052506956336,8.950052506956336,3.429946560329861,3.429946560329861,15.874760835067086,15.874760835067086,2369.1568908691406,2369.1568908691406,3330.677032470703,3330.677032470703,0.0,0.0,129.28797439549066,129.28797439549066
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1992,4,8.100528904649078,8.100528904649078,-0.8090377639938187,-0.8090377639938187,17.10126827074134,17.10126827074134,2780.544219970703,2780.544219970703,3695.389862060547,3695.389862060547,2.455322265625,2.455322265625,134.77248117181122,134.77248117181122
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1993,4,8.7662299169253,8.7662299169253,3.711197238498264,3.711197238498264,15.643621361773947,15.643621361773947,2412.7186584472656,2412.7186584472656,3402.4373168945312,3402.4373168945312,0.300018310546875,0.300018310546875,135.43278371471249,135.43278371471249
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1994,4,8.541811673935145,8.541811673935145,1.9391330295138889,1.9391330295138889,16.71574202827785,16.71574202827785,2573.996307373047,2573.996307373047,3537.574188232422,3537.574188232422,16.541534423828125,16.541534423828125,132.11664007787834,132.11664007787834
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1995,4,9.193843726589256,9.193843726589256,2.6712910970052084,2.6712910970052084,17.726187332816746,17.726187332816746,2431.7122192382812,2431.7122192382812,3346.7647399902344,3346.7647399902344,32.656219482421875,32.656219482421875,134.54270765487462,134.54270765487462
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1996,4,9.397000005336407,9.397000005336407,2.173741267277644,2.173741267277644,19.122271330460258,19.122271330460258,2468.8156127929688,2468.8156127929688,3335.9938354492188,3335.9938354492188,30.474853515625,30.474853515625,139.39167632952413,139.39167632952413
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1997,4,9.44325034781678,9.44325034781678,2.256667073567708,2.256667073567708,17.4435570758322,17.4435570758322,2326.284149169922,2326.284149169922,3241.8803100585938,3241.8803100585938,24.698089599609375,24.698089599609375,132.2596705658795,132.2596705658795
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1998,4,8.753989358144263,8.753989358144263,1.160530259874132,1.160530259874132,16.000126050866168,16.000126050866168,2525.0164184570312,2525.0164184570312,3473.1974182128906,3473.1974182128906,5.672027587890625,5.672027587890625,134.46626910510128,134.46626910510128
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,1999,4,9.917330221933861,9.917330221933861,3.662649875217014,3.662649875217014,16.720694832179856,16.720694832179856,2142.322021484375,2142.322021484375,3025.8927001953125,3025.8927001953125,8.172210693359375,8.172210693359375,137.63086541384868,137.63086541384868
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,2000,4,10.208897658384563,10.208897658384563,2.979412372295673,2.979412372295673,19.20939768915591,19.20939768915591,2243.8782348632812,2243.8782348632812,3077.7515869140625,3077.7515869140625,36.993194580078125,36.993194580078125,141.7735541609467,141.7735541609467
baseline_1981_2005__historical__tech_current_stock,baseline_1981_2005,historical,tech_current_stock,2001,4,8.907130494836258,8.907130494836258,3.9688418918185766,3.9688418918185766,16.481248606806215,16.481248606806215,2455.2506103515625,2455.2506103515625,3434.753875732422,3434.753875732422,27.92822265625,27.92822265625,132.1494895634586,132.1494895634586
